vintage_month,credit_score_band,months_on_book,dpd_bucket,n_accounts,total_balance,cohort_accounts,pct_of_cohort
2024-09-01,Near_Prime,10,DPD_30,18,82277.64,802,2.244
2024-09-01,Near_Prime,10,DPD_60,5,22797.8,802,0.623
2024-09-01,Near_Prime,10,DPD_90_PLUS,7,35811.81,802,0.873
2024-09-01,Near_Prime,10,Paid_Off,28,0.0,802,3.491
2024-09-01,Near_Prime,11,Charged_Off,23,123566.44,802,2.868
2024-09-01,Near_Prime,11,Current,213,777428.66,802,26.559
2024-09-01,Near_Prime,11,DPD_30,9,31247.4,802,1.122
2024-09-01,Near_Prime,11,DPD_60,8,38988.049999999996,802,0.998
2024-09-01,Near_Prime,11,DPD_90_PLUS,7,27347.53,802,0.873
2024-09-01,Near_Prime,11,Paid_Off,29,0.0,802,3.616
2024-09-01,Near_Prime,12,Charged_Off,29,141601.17,802,3.616
2024-09-01,Near_Prime,12,Current,204,716235.92,802,25.436
2024-09-01,Near_Prime,12,DPD_30,10,33876.81,802,1.247
2024-09-01,Near_Prime,12,DPD_60,8,34436.73,802,0.998
2024-09-01,Near_Prime,12,DPD_90_PLUS,5,23080.54,802,0.623
2024-09-01,Near_Prime,12,Paid_Off,33,0.0,802,4.115
2024-09-01,Near_Prime,13,Charged_Off,33,162590.72,802,4.115
2024-09-01,Near_Prime,13,Current,196,659233.0,802,24.439
2024-09-01,Near_Prime,13,DPD_30,15,47935.57,802,1.87
2024-09-01,Near_Prime,13,DPD_60,5,14234.12,802,0.623
2024-09-01,Near_Prime,13,DPD_90_PLUS,6,25530.78,802,0.748
2024-09-01,Near_Prime,13,Paid_Off,34,0.0,802,4.239
2024-09-01,Near_Prime,14,Charged_Off,37,180899.24,802,4.613
2024-09-01,Near_Prime,14,Current,195,625128.28,802,24.314
2024-09-01,Near_Prime,14,DPD_30,8,28907.920000000002,802,0.998
2024-09-01,Near_Prime,14,DPD_60,9,25109.24,802,1.122
2024-09-01,Near_Prime,14,DPD_90_PLUS,4,10683.720000000001,802,0.499
2024-09-01,Near_Prime,14,Paid_Off,36,0.0,802,4.489
2024-09-01,Near_Prime,15,Charged_Off,40,187901.93,802,4.988
2024-09-01,Near_Prime,15,Current,189,581932.61,802,23.566
2024-09-01,Near_Prime,15,DPD_30,10,25900.14,802,1.247
2024-09-01,Near_Prime,15,DPD_60,3,10748.82,802,0.374
2024-09-01,Near_Prime,15,DPD_90_PLUS,7,19733.99,802,0.873
2024-09-01,Near_Prime,15,Paid_Off,40,0.0,802,4.988
2024-09-01,Near_Prime,16,Charged_Off,46,204076.69,802,5.736
2024-09-01,Near_Prime,16,Current,187,545634.66,802,23.317
2024-09-01,Near_Prime,16,DPD_30,10,30824.55,802,1.247
2024-09-01,Near_Prime,16,DPD_60,3,7334.37,802,0.374
2024-09-01,Near_Prime,16,DPD_90_PLUS,2,7908.63,802,0.249
2024-09-01,Near_Prime,16,Paid_Off,41,0.0,802,5.112
2024-09-01,Near_Prime,17,Charged_Off,47,208568.57,802,5.86
2024-09-01,Near_Prime,17,Current,181,502521.46,802,22.569
2024-09-01,Near_Prime,17,DPD_30,10,33329.97,802,1.247
2024-09-01,Near_Prime,17,DPD_60,4,8744.960000000001,802,0.499
2024-09-01,Near_Prime,17,DPD_90_PLUS,2,5129.09,802,0.249
2024-09-01,Near_Prime,17,Paid_Off,45,0.0,802,5.611
2024-09-01,Near_Prime,18,Charged_Off,49,213697.66,802,6.11
2024-09-01,Near_Prime,18,Current,177,462641.42,802,22.07
2024-09-01,Near_Prime,18,DPD_30,8,31683.35,802,0.998
2024-09-01,Near_Prime,18,DPD_60,4,12127.3,802,0.499
2024-09-01,Near_Prime,18,DPD_90_PLUS,3,5977.74,802,0.374
2024-09-01,Near_Prime,18,Paid_Off,48,0.0,802,5.985
2024-09-01,Near_Prime,19,Charged_Off,51,217047.87,802,6.359
2024-09-01,Near_Prime,19,Current,175,440973.78,802,21.82
2024-09-01,Near_Prime,19,DPD_30,9,30126.5,802,1.122
2024-09-01,Near_Prime,19,DPD_60,2,5404.16,802,0.249
2024-09-01,Near_Prime,19,DPD_90_PLUS,3,9175.21,802,0.374
2024-09-01,Near_Prime,19,Paid_Off,49,0.0,802,6.11
2024-09-01,Near_Prime,20,Charged_Off,54,226223.08,802,6.733
2024-09-01,Near_Prime,20,Current,169,405341.24,802,21.072
2024-09-01,Near_Prime,20,DPD_30,13,39640.74,802,1.621
2024-09-01,Near_Prime,20,DPD_60,2,6161.66,802,0.249
2024-09-01,Near_Prime,20,DPD_90_PLUS,1,2416.96,802,0.125
2024-09-01,Near_Prime,20,Paid_Off,50,0.0,802,6.234
2024-09-01,Near_Prime,21,Charged_Off,55,228640.04,802,6.858
2024-09-01,Near_Prime,21,Current,170,389270.61,802,21.197
2024-09-01,Near_Prime,21,DPD_30,4,10920.34,802,0.499
2024-09-01,Near_Prime,21,DPD_60,4,11570.01,802,0.499
2024-09-01,Near_Prime,21,DPD_90_PLUS,2,5931.63,802,0.249
2024-09-01,Near_Prime,21,Paid_Off,54,0.0,802,6.733
2024-09-01,Near_Prime,22,Charged_Off,56,233240.59,802,6.983
2024-09-01,Near_Prime,22,Current,169,371184.77999999997,802,21.072
2024-09-01,Near_Prime,22,DPD_30,3,9610.400000000001,802,0.374
2024-09-01,Near_Prime,22,DPD_60,1,841.45,802,0.125
2024-09-01,Near_Prime,22,DPD_90_PLUS,4,11565.39,802,0.499
2024-09-01,Near_Prime,22,Paid_Off,56,0.0,802,6.983
2024-09-01,Near_Prime,23,Charged_Off,57,235378.9,802,7.107
2024-09-01,Near_Prime,23,Current,156,334592.72,802,19.451
2024-09-01,Near_Prime,23,DPD_30,12,18445.1,802,1.496
2024-09-01,Near_Prime,23,DPD_60,1,3927.02,802,0.125
2024-09-01,Near_Prime,23,DPD_90_PLUS,4,9819.27,802,0.499
2024-09-01,Near_Prime,23,Paid_Off,59,0.0,802,7.357
2024-09-01,Prime,1,Current,319,2760867.01,802,39.776
2024-09-01,Prime,2,Current,312,2600557.25,802,38.903
2024-09-01,Prime,2,DPD_30,2,9492.49,802,0.249
2024-09-01,Prime,2,Paid_Off,5,0.0,802,0.623
2024-09-01,Prime,3,Current,302,2402509.53,802,37.656
2024-09-01,Prime,3,DPD_30,5,36917.75,802,0.623
2024-09-01,Prime,3,DPD_60,2,9040.58,802,0.249
2024-09-01,Prime,3,Paid_Off,10,0.0,802,1.247
2024-09-01,Prime,4,Current,298,2256558.2,802,37.157
2024-09-01,Prime,4,DPD_30,5,38012.96,802,0.623
2024-09-01,Prime,4,DPD_60,2,5470.33,802,0.249
2024-09-01,Prime,4,DPD_90_PLUS,1,4614.63,802,0.125
2024-09-01,Prime,4,Paid_Off,13,0.0,802,1.621
2024-09-01,Prime,5,Charged_Off,1,4614.63,802,0.125
2024-09-01,Prime,5,Current,292,2114078.4,802,36.409
2024-09-01,Prime,5,DPD_30,7,42763.020000000004,802,0.873
2024-09-01,Prime,5,DPD_90_PLUS,2,5181.09,802,0.249
2024-09-01,Prime,5,Paid_Off,17,0.0,802,2.12
2024-09-01,Prime,6,Charged_Off,3,9795.72,802,0.374
2024-09-01,Prime,6,Current,288,1985382.84,802,35.91
2024-09-01,Prime,6,DPD_30,7,40280.75,802,0.873
2024-09-01,Prime,6,Paid_Off,21,0.0,802,2.618
2024-09-01,Prime,7,Charged_Off,3,9795.72,802,0.374
2024-09-01,Prime,7,Current,279,1835507.83,802,34.788
2024-09-01,Prime,7,DPD_30,12,76422.94,802,1.496
2024-09-01,Prime,7,DPD_60,2,14076.8,802,0.249
2024-09-01,Prime,7,Paid_Off,23,0.0,802,2.868
2024-09-01,Prime,8,Charged_Off,3,9795.72,802,0.374
2024-09-01,Prime,8,Current,277,1747575.21,802,34.539
2024-09-01,Prime,8,DPD_30,9,51872.59,802,1.122
2024-09-01,Prime,8,DPD_60,3,15209.8,802,0.374
2024-09-01,Prime,8,DPD_90_PLUS,2,13434.740000000002,802,0.249
2024-09-01,Prime,8,Paid_Off,25,0.0,802,3.117
2024-09-01,Prime,9,Charged_Off,4,17584.86,802,0.499
2024-09-01,Prime,9,Current,272,1654754.57,802,33.915
2024-09-01,Prime,9,DPD_30,6,32375.11,802,0.748
2024-09-01,Prime,9,DPD_60,4,16873.96,802,0.499
2024-09-01,Prime,9,DPD_90_PLUS,4,19904.47,802,0.499
2024-09-01,Prime,9,Paid_Off,29,0.0,802,3.616
2024-09-01,Prime,10,Charged_Off,7,34913.27,802,0.873
2024-09-01,Prime,10,Current,266,1535597.17,802,33.167
2024-09-01,Prime,10,DPD_30,7,43395.96,802,0.873
2024-09-01,Prime,10,DPD_60,3,17498.23,802,0.374
2024-09-01,Prime,10,DPD_90_PLUS,2,4714.5,802,0.249
2024-09-01,Prime,10,Paid_Off,34,0.0,802,4.239
2024-09-01,Prime,11,Charged_Off,9,39627.77,802,1.122
2024-09-01,Prime,11,Current,257,1405021.25,802,32.045
2024-09-01,Prime,11,DPD_30,13,75008.03,802,1.621
2024-09-01,Prime,11,DPD_60,2,17881.12,802,0.249
2024-09-01,Prime,11,DPD_90_PLUS,1,4710.78,802,0.125
2024-09-01,Prime,11,Paid_Off,37,0.0,802,4.613
2024-09-01,Prime,12,Charged_Off,9,39627.77,802,1.122
2024-09-01,Prime,12,Current,252,1322752.53,802,31.421
2024-09-01,Prime,12,DPD_30,6,36853.89,802,0.748
2024-09-01,Prime,12,DPD_60,5,34571.85,802,0.623
2024-09-01,Prime,12,Paid_Off,47,0.0,802,5.86
2024-09-01,Prime,13,Charged_Off,9,39627.77,802,1.122
2024-09-01,Prime,13,Current,247,1242738.15,802,30.798
2024-09-01,Prime,13,DPD_30,8,45300.82,802,0.998
2024-09-01,Prime,13,DPD_60,2,16870.55,802,0.249
2024-09-01,Prime,13,DPD_90_PLUS,2,10957.2,802,0.249
2024-09-01,Prime,13,Paid_Off,51,0.0,802,6.359
2024-09-01,Prime,14,Charged_Off,10,46300.37,802,1.247
2024-09-01,Prime,14,Current,247,1210494.86,802,30.798
2024-09-01,Prime,14,DPD_30,2,7350.039999999999,802,0.249
2024-09-01,Prime,14,DPD_60,2,13333.38,802,0.249
2024-09-01,Prime,14,DPD_90_PLUS,1,4084.24,802,0.125
2024-09-01,Prime,14,Paid_Off,57,0.0,802,7.107
2024-09-01,Prime,15,Charged_Off,10,46300.37,802,1.247
2024-09-01,Prime,15,Current,241,1133715.4,802,30.05
2024-09-01,Prime,15,DPD_30,6,26112.09,802,0.748
2024-09-01,Prime,15,DPD_90_PLUS,2,6140.42,802,0.249
2024-09-01,Prime,15,Paid_Off,60,0.0,802,7.481
2024-09-01,Prime,16,Charged_Off,10,46300.37,802,1.247
2024-09-01,Prime,16,Current,236,1047955.31,802,29.426
2024-09-01,Prime,16,DPD_30,8,36810.27,802,0.998
2024-09-01,Prime,16,DPD_60,1,5867.15,802,0.125
2024-09-01,Prime,16,DPD_90_PLUS,2,5879.84,802,0.249
2024-09-01,Prime,16,Paid_Off,62,0.0,802,7.731
2024-09-01,Prime,17,Charged_Off,12,52180.21,802,1.496
2024-09-01,Prime,17,Current,233,990202.01,802,29.052
2024-09-01,Prime,17,DPD_30,6,21107.16,802,0.748
2024-09-01,Prime,17,DPD_60,4,20175.25,802,0.499
2024-09-01,Prime,17,Paid_Off,64,0.0,802,7.98
2024-09-01,Prime,18,Charged_Off,12,52180.21,802,1.496
2024-09-01,Prime,18,Current,232,932839.33,802,28.928
2024-09-01,Prime,18,DPD_30,3,13953.81,802,0.374
2024-09-01,Prime,18,DPD_60,1,4031.58,802,0.125
2024-09-01,Prime,18,DPD_90_PLUS,3,15236.32,802,0.374
2024-09-01,Prime,18,Paid_Off,68,0.0,802,8.479
2024-09-01,Prime,19,Charged_Off,14,58338.13,802,1.746
2024-09-01,Prime,19,Current,224,853252.61,802,27.93
2024-09-01,Prime,19,DPD_30,6,28439.38,802,0.748
2024-09-01,Prime,19,DPD_60,1,5470.45,802,0.125
2024-09-01,Prime,19,DPD_90_PLUS,1,8699.96,802,0.125
2024-09-01,Prime,19,Paid_Off,73,0.0,802,9.102
2024-09-01,Prime,20,Charged_Off,15,67038.09,802,1.87
2024-09-01,Prime,20,Current,220,794521.01,802,27.431
2024-09-01,Prime,20,DPD_30,6,32424.59,802,0.748
2024-09-01,Prime,20,DPD_60,2,7736.21,802,0.249
2024-09-01,Prime,20,DPD_90_PLUS,1,5256.6,802,0.125
2024-09-01,Prime,20,Paid_Off,75,0.0,802,9.352
2024-09-01,Prime,21,Charged_Off,16,72294.69,802,1.995
2024-09-01,Prime,21,Current,217,745384.76,802,27.057
2024-09-01,Prime,21,DPD_30,7,35992.39,802,0.873
2024-09-01,Prime,21,DPD_60,1,6547.6,802,0.125
2024-09-01,Prime,21,DPD_90_PLUS,2,7451.08,802,0.249
2024-09-01,Prime,21,Paid_Off,76,0.0,802,9.476
2024-09-01,Prime,22,Charged_Off,17,76134.62,802,2.12
2024-09-01,Prime,22,Current,217,720564.03,802,27.057
2024-09-01,Prime,22,DPD_30,2,9961.970000000001,802,0.249
2024-09-01,Prime,22,DPD_60,3,13973.96,802,0.374
2024-09-01,Prime,22,DPD_90_PLUS,2,9683.32,802,0.249
2024-09-01,Prime,22,Paid_Off,78,0.0,802,9.726
2024-09-01,Prime,23,Charged_Off,19,85817.94,802,2.369
2024-09-01,Prime,23,Current,207,656151.15,802,25.81
2024-09-01,Prime,23,DPD_30,6,15798.01,802,0.748
2024-09-01,Prime,23,DPD_60,3,17166.08,802,0.374
2024-09-01,Prime,23,DPD_90_PLUS,2,5617.79,802,0.249
2024-09-01,Prime,23,Paid_Off,82,0.0,802,10.224
2024-09-01,Subprime,1,Current,194,629393.35,802,24.19
2024-09-01,Subprime,2,Current,180,562319.06,802,22.444
2024-09-01,Subprime,2,DPD_30,11,32685.59,802,1.372
2024-09-01,Subprime,2,Paid_Off,3,0.0,802,0.374
2024-09-01,Subprime,3,Current,171,508947.8,802,21.322
2024-09-01,Subprime,3,DPD_30,14,41053.69,802,1.746
2024-09-01,Subprime,3,DPD_60,2,8943.380000000001,802,0.249
2024-09-01,Subprime,3,Paid_Off,7,0.0,802,0.873
2024-09-01,Subprime,4,Current,162,463040.29,802,20.2
2024-09-01,Subprime,4,DPD_30,15,40014.32,802,1.87
2024-09-01,Subprime,4,DPD_60,4,13708.69,802,0.499
2024-09-01,Subprime,4,DPD_90_PLUS,1,5346.96,802,0.125
2024-09-01,Subprime,4,Paid_Off,12,0.0,802,1.496
2024-09-01,Subprime,5,Current,153,418066.66,802,19.077
2024-09-01,Subprime,5,DPD_30,20,51276.3,802,2.494
2024-09-01,Subprime,5,DPD_60,5,15529.55,802,0.623
2024-09-01,Subprime,5,DPD_90_PLUS,3,10353.84,802,0.374
2024-09-01,Subprime,5,Paid_Off,13,0.0,802,1.621
2024-09-01,Subprime,6,Charged_Off,1,2235.27,802,0.125
2024-09-01,Subprime,6,Current,147,383539.54,802,18.329
2024-09-01,Subprime,6,DPD_30,16,41008.42,802,1.995
2024-09-01,Subprime,6,DPD_60,8,19724.03,802,0.998
2024-09-01,Subprime,6,DPD_90_PLUS,6,19350.399999999998,802,0.748
2024-09-01,Subprime,6,Paid_Off,16,0.0,802,1.995
2024-09-01,Subprime,7,Charged_Off,5,15376.99,802,0.623
2024-09-01,Subprime,7,Current,136,339786.07,802,16.958
2024-09-01,Subprime,7,DPD_30,16,41415.09,802,1.995
2024-09-01,Subprime,7,DPD_60,7,16897.18,802,0.873
2024-09-01,Subprime,7,DPD_90_PLUS,8,18742.81,802,0.998
2024-09-01,Subprime,7,Paid_Off,22,0.0,802,2.743
2024-09-01,Subprime,8,Charged_Off,11,28661.84,802,1.372
2024-09-01,Subprime,8,Current,132,319959.07,802,16.459
2024-09-01,Subprime,8,DPD_30,13,26817.59,802,1.621
2024-09-01,Subprime,8,DPD_60,7,17598.21,802,0.873
2024-09-01,Subprime,8,DPD_90_PLUS,7,16095.25,802,0.873
2024-09-01,Subprime,8,Paid_Off,24,0.0,802,2.993
2024-09-01,Subprime,9,Charged_Off,13,31691.38,802,1.621
2024-09-01,Subprime,9,Current,127,293362.36,802,15.835
2024-09-01,Subprime,9,DPD_30,11,21256.52,802,1.372
2024-09-01,Subprime,9,DPD_60,10,23269.65,802,1.247
2024-09-01,Subprime,9,DPD_90_PLUS,7,16559.12,802,0.873
2024-09-01,Subprime,9,Paid_Off,26,0.0,802,3.242
2024-09-01,Subprime,10,Charged_Off,16,38770.17,802,1.995
2024-09-01,Subprime,10,Current,115,251502.68,802,14.339
2024-09-01,Subprime,10,DPD_30,17,36052.4,802,2.12
2024-09-01,Subprime,10,DPD_60,6,13336.85,802,0.748
2024-09-01,Subprime,10,DPD_90_PLUS,11,23717.23,802,1.372
2024-09-01,Subprime,10,Paid_Off,29,0.0,802,3.616
2024-09-01,Subprime,11,Charged_Off,23,56377.75,802,2.868
2024-09-01,Subprime,11,Current,108,229456.92,802,13.466
2024-09-01,Subprime,11,DPD_30,20,37946.67,802,2.494
2024-09-01,Subprime,11,DPD_60,6,12345.59,802,0.748
2024-09-01,Subprime,11,DPD_90_PLUS,7,12187.23,802,0.873
2024-09-01,Subprime,11,Paid_Off,30,0.0,802,3.741
2024-09-01,Subprime,12,Charged_Off,28,65664.12,802,3.491
2024-09-01,Subprime,12,Current,107,209880.72,802,13.342
2024-09-01,Subprime,12,DPD_30,13,32087.59,802,1.621
2024-09-01,Subprime,12,DPD_60,7,12775.54,802,0.873
2024-09-01,Subprime,12,DPD_90_PLUS,7,12653.04,802,0.873
2024-09-01,Subprime,12,Paid_Off,32,0.0,802,3.99
2024-09-01,Subprime,13,Charged_Off,31,71477.41,802,3.865
2024-09-01,Subprime,13,Current,104,198951.01,802,12.968
2024-09-01,Subprime,13,DPD_30,10,18526.68,802,1.247
2024-09-01,Subprime,13,DPD_60,7,14913.97,802,0.873
2024-09-01,Subprime,13,DPD_90_PLUS,9,16128.18,802,1.122
2024-09-01,Subprime,13,Paid_Off,33,0.0,802,4.115
2024-09-01,Subprime,14,Charged_Off,35,79078.45,802,4.364
2024-09-01,Subprime,14,Current,96,176750.4,802,11.97
2024-09-01,Subprime,14,DPD_30,10,14562.25,802,1.247
2024-09-01,Subprime,14,DPD_60,8,16872.39,802,0.998
2024-09-01,Subprime,14,DPD_90_PLUS,9,16353.79,802,1.122
2024-09-01,Subprime,14,Paid_Off,36,0.0,802,4.489
2024-09-01,Subprime,15,Charged_Off,37,82584.06999999999,802,4.613
2024-09-01,Subprime,15,Current,89,153112.69,802,11.097
2024-09-01,Subprime,15,DPD_30,14,21666.05,802,1.746
2024-09-01,Subprime,15,DPD_60,4,7612.04,802,0.499
2024-09-01,Subprime,15,DPD_90_PLUS,10,17644.25,802,1.247
2024-09-01,Subprime,15,Paid_Off,40,0.0,802,4.988
2024-09-01,Subprime,16,Charged_Off,42,90271.39,802,5.237
2024-09-01,Subprime,16,Current,86,143083.48,802,10.723
2024-09-01,Subprime,16,DPD_30,9,13012.33,802,1.122
2024-09-01,Subprime,16,DPD_60,9,14662.78,802,1.122
2024-09-01,Subprime,16,DPD_90_PLUS,6,10806.86,802,0.748
2024-09-01,Subprime,16,Paid_Off,42,0.0,802,5.237
2024-09-01,Subprime,17,Charged_Off,45,94764.1,802,5.611
2024-09-01,Subprime,17,Current,80,130357.81999999999,802,9.975
2024-09-01,Subprime,17,DPD_30,11,13828.3,802,1.372
2024-09-01,Subprime,17,DPD_60,4,3336.66,802,0.499
2024-09-01,Subprime,17,DPD_90_PLUS,10,18695.57,802,1.247
2024-09-01,Subprime,17,Paid_Off,44,0.0,802,5.486
2024-09-01,Subprime,18,Charged_Off,51,105411.49,802,6.359
2024-09-01,Subprime,18,Current,79,120662.35,802,9.85
2024-09-01,Subprime,18,DPD_30,7,9425.08,802,0.873
2024-09-01,Subprime,18,DPD_60,7,10185.42,802,0.873
2024-09-01,Subprime,18,DPD_90_PLUS,5,8244.1,802,0.623
2024-09-01,Subprime,18,Paid_Off,45,0.0,802,5.611
2024-09-01,Subprime,19,Charged_Off,53,110402.53,802,6.608
2024-09-01,Subprime,19,Current,73,107063.65,802,9.102
2024-09-01,Subprime,19,DPD_30,11,16801.98,802,1.372
2024-09-01,Subprime,19,DPD_60,4,4639.85,802,0.499
2024-09-01,Subprime,19,DPD_90_PLUS,6,6556.68,802,0.748
2024-09-01,Subprime,19,Paid_Off,47,0.0,802,5.86
2024-09-01,Subprime,20,Charged_Off,57,115675.56,802,7.107
2024-09-01,Subprime,20,Current,67,95522.36,802,8.354
2024-09-01,Subprime,20,DPD_30,10,13858.57,802,1.247
2024-09-01,Subprime,20,DPD_60,5,5996.74,802,0.623
2024-09-01,Subprime,20,DPD_90_PLUS,5,4149.68,802,0.623
2024-09-01,Subprime,20,Paid_Off,50,0.0,802,6.234
2024-09-01,Subprime,21,Charged_Off,60,118047.12,802,7.481
2024-09-01,Subprime,21,Current,65,87034.15,802,8.105
2024-09-01,Subprime,21,DPD_30,4,5763.14,802,0.499
2024-09-01,Subprime,21,DPD_60,10,10460.62,802,1.247
2024-09-01,Subprime,21,DPD_90_PLUS,3,4975.3,802,0.374
2024-09-01,Subprime,21,Paid_Off,52,0.0,802,6.484
2024-09-01,Subprime,22,Charged_Off,61,119303.31,802,7.606
2024-09-01,Subprime,22,Current,59,77476.51,802,7.357
2024-09-01,Subprime,22,DPD_30,6,4053.42,802,0.748
2024-09-01,Subprime,22,DPD_60,6,7858.75,802,0.748
2024-09-01,Subprime,22,DPD_90_PLUS,7,8797.52,802,0.873
2024-09-01,Subprime,22,Paid_Off,55,0.0,802,6.858
2024-09-01,Subprime,23,Charged_Off,67,126023.27,802,8.354
2024-09-01,Subprime,23,Current,59,72405.23,802,7.357
2024-09-01,Subprime,23,DPD_30,5,5027.63,802,0.623
2024-09-01,Subprime,23,DPD_60,3,4995.89,802,0.374
2024-09-01,Subprime,23,DPD_90_PLUS,4,4524.1,802,0.499
2024-09-01,Subprime,23,Paid_Off,56,0.0,802,6.983
2024-10-01,Near_Prime,1,Current,374,2205044.77,1125,33.244
2024-10-01,Near_Prime,2,Current,359,2015168.81,1125,31.911
2024-10-01,Near_Prime,2,DPD_30,10,67531.09,1125,0.889
2024-10-01,Near_Prime,2,Paid_Off,5,0.0,1125,0.444
2024-10-01,Near_Prime,3,Current,342,1847078.07,1125,30.4
2024-10-01,Near_Prime,3,DPD_30,15,82622.04000000001,1125,1.333
2024-10-01,Near_Prime,3,DPD_60,2,18090.81,1125,0.178
2024-10-01,Near_Prime,3,Paid_Off,15,0.0,1125,1.333
2024-10-01,Near_Prime,4,Current,325,1679066.51,1125,28.889
2024-10-01,Near_Prime,4,DPD_30,15,67902.63,1125,1.333
2024-10-01,Near_Prime,4,DPD_60,7,49587.95,1125,0.622
2024-10-01,Near_Prime,4,DPD_90_PLUS,2,17400.98,1125,0.178
2024-10-01,Near_Prime,4,Paid_Off,25,0.0,1125,2.222
2024-10-01,Near_Prime,5,Charged_Off,2,17400.98,1125,0.178
2024-10-01,Near_Prime,5,Current,307,1495301.33,1125,27.289
2024-10-01,Near_Prime,5,DPD_30,22,113744.74,1125,1.956
2024-10-01,Near_Prime,5,DPD_60,6,43293.82,1125,0.533
2024-10-01,Near_Prime,5,DPD_90_PLUS,4,13116.51,1125,0.356
2024-10-01,Near_Prime,5,Paid_Off,33,0.0,1125,2.933
2024-10-01,Near_Prime,6,Charged_Off,4,21884.1,1125,0.356
2024-10-01,Near_Prime,6,Current,302,1399421.17,1125,26.844
2024-10-01,Near_Prime,6,DPD_30,10,56803.950000000004,1125,0.889
2024-10-01,Near_Prime,6,DPD_60,13,62508.659999999996,1125,1.156
2024-10-01,Near_Prime,6,DPD_90_PLUS,6,36830.93,1125,0.533
2024-10-01,Near_Prime,6,Paid_Off,39,0.0,1125,3.467
2024-10-01,Near_Prime,7,Charged_Off,7,35293.52,1125,0.622
2024-10-01,Near_Prime,7,Current,293,1287506.81,1125,26.044
2024-10-01,Near_Prime,7,DPD_30,14,70446.46,1125,1.244
2024-10-01,Near_Prime,7,DPD_60,5,11645.61,1125,0.444
2024-10-01,Near_Prime,7,DPD_90_PLUS,10,59517.909999999996,1125,0.889
2024-10-01,Near_Prime,7,Paid_Off,45,0.0,1125,4.0
2024-10-01,Near_Prime,8,Charged_Off,14,66814.83,1125,1.244
2024-10-01,Near_Prime,8,Current,285,1191587.42,1125,25.333
