customer_id,vintage_month,credit_score_band,credit_score,income_band,region,loan_purpose,origination_balance
100080,2024-09-01,Near_Prime,689,Medium,South,Travel,7756.73
100081,2024-09-01,Prime,841,High,South,Card_Refinance,3620.64
100082,2024-09-01,Near_Prime,666,Low,South,General_Spend,3943.15
100083,2024-09-01,Subprime,592,High,Midwest,General_Spend,4507.92
100084,2024-09-01,Near_Prime,703,Medium,West,General_Spend,14653.85
100085,2024-09-01,Near_Prime,689,High,South,General_Spend,5345.41
100086,2024-09-01,Subprime,625,Low,Northeast,Travel,2475.03
100087,2024-09-01,Near_Prime,672,Low,South,Card_Refinance,6378.43
100088,2024-09-01,Near_Prime,691,Medium,South,General_Spend,11672.31
100089,2024-09-01,Near_Prime,680,Low,South,General_Spend,2961.9
100090,2024-09-01,Subprime,652,Low,Northeast,Retail_Purchase,4961.76
100091,2024-09-01,Near_Prime,697,Medium,Northeast,General_Spend,8466.96
100092,2024-09-01,Prime,745,High,South,Card_Refinance,7169.38
100093,2024-09-01,Prime,817,Low,West,Cash_Advance,10171.43
100094,2024-09-01,Prime,777,Medium,South,Retail_Purchase,14566.91
100095,2024-09-01,Near_Prime,662,High,South,General_Spend,3689.09
100096,2024-09-01,Near_Prime,691,Medium,South,Card_Refinance,4207.42
100097,2024-09-01,Subprime,633,Medium,South,Card_Refinance,4020.85
100098,2024-09-01,Prime,815,Medium,South,Cash_Advance,15301.85
100099,2024-09-01,Subprime,637,High,South,Card_Refinance,5887.72
100100,2024-09-01,Subprime,591,Medium,West,Travel,1888.87
100101,2024-09-01,Prime,747,Medium,West,Retail_Purchase,7782.72
100102,2024-09-01,Prime,723,High,Midwest,Cash_Advance,4548.81
100103,2024-09-01,Prime,836,Low,Midwest,Cash_Advance,11792.51
100104,2024-09-01,Near_Prime,673,Medium,West,Card_Refinance,5926.55
100105,2024-09-01,Prime,786,Medium,Northeast,Retail_Purchase,3075.73
100106,2024-09-01,Near_Prime,660,Medium,Northeast,Card_Refinance,2013.4
100107,2024-09-01,Near_Prime,684,Medium,South,Travel,2682.01
100108,2024-09-01,Subprime,602,High,Midwest,Cash_Advance,6040.85
100109,2024-09-01,Prime,726,Medium,South,Card_Refinance,10592.97
100110,2024-09-01,Subprime,603,Medium,South,Card_Refinance,3748.56
100111,2024-09-01,Near_Prime,663,Low,Midwest,Retail_Purchase,2665.09
100112,2024-09-01,Prime,785,Low,Midwest,Card_Refinance,10582.46
100113,2024-09-01,Near_Prime,666,High,South,Retail_Purchase,7874.94
100114,2024-09-01,Prime,847,Low,Midwest,Travel,8579.78
100115,2024-09-01,Prime,844,Medium,Northeast,Retail_Purchase,3682.44
100116,2024-09-01,Near_Prime,674,Medium,South,Travel,11524.37
100117,2024-09-01,Subprime,647,Medium,Midwest,Card_Refinance,6562.84
100118,2024-09-01,Prime,773,High,West,Cash_Advance,5573.15
100119,2024-09-01,Subprime,623,High,South,Retail_Purchase,2869.85
100120,2024-09-01,Subprime,590,Medium,Northeast,Travel,6495.95
100121,2024-09-01,Prime,751,Low,South,Cash_Advance,17399.89
100122,2024-09-01,Prime,795,Low,South,Retail_Purchase,7207.5
100123,2024-09-01,Near_Prime,705,Medium,Northeast,Retail_Purchase,4611.46
100124,2024-09-01,Prime,820,Medium,Midwest,Retail_Purchase,3103.08
100125,2024-09-01,Subprime,635,Medium,Northeast,General_Spend,4460.57
100126,2024-09-01,Near_Prime,680,High,West,Travel,6670.19
100127,2024-09-01,Prime,785,Medium,West,General_Spend,8907.54
100128,2024-09-01,Near_Prime,666,High,Midwest,Retail_Purchase,6884.25
100129,2024-09-01,Near_Prime,707,Low,Northeast,General_Spend,3320.37
100130,2024-09-01,Near_Prime,701,Medium,Northeast,Retail_Purchase,3091.01
100131,2024-09-01,Near_Prime,718,Low,Midwest,General_Spend,7444.0
100132,2024-09-01,Subprime,644,Low,West,Retail_Purchase,2835.02
100133,2024-09-01,Prime,739,Low,South,General_Spend,27162.61
100134,2024-09-01,Near_Prime,713,Low,South,Card_Refinance,6473.31
100135,2024-09-01,Prime,836,Medium,Midwest,Cash_Advance,8762.11
100136,2024-09-01,Subprime,628,Low,West,Card_Refinance,3893.36
100137,2024-09-01,Subprime,657,High,Northeast,Cash_Advance,1437.25
100138,2024-09-01,Near_Prime,716,Low,West,Retail_Purchase,8201.6
100139,2024-09-01,Prime,847,Medium,South,Travel,8276.81
100140,2024-09-01,Subprime,604,Low,Northeast,Retail_Purchase,2557.68
100141,2024-09-01,Prime,777,High,Midwest,Cash_Advance,5130.28
100142,2024-09-01,Near_Prime,717,High,South,General_Spend,3254.05
100143,2024-09-01,Subprime,648,Low,West,Retail_Purchase,2745.45
100144,2024-09-01,Near_Prime,683,Medium,Northeast,Retail_Purchase,2628.76
100145,2024-09-01,Subprime,609,Low,South,Travel,3208.39
100146,2024-09-01,Prime,788,Medium,Midwest,General_Spend,17743.01
100147,2024-09-01,Near_Prime,665,Low,West,Retail_Purchase,19085.32
100148,2024-09-01,Prime,827,Medium,Northeast,Cash_Advance,14966.93
100149,2024-09-01,Prime,846,Medium,West,Cash_Advance,9235.41
100150,2024-09-01,Prime,758,Low,South,Cash_Advance,15843.31
100151,2024-09-01,Near_Prime,671,Medium,Northeast,Retail_Purchase,2269.03
100152,2024-09-01,Subprime,587,Medium,West,Travel,4063.78
100153,2024-09-01,Subprime,637,Medium,South,Card_Refinance,3274.82
100154,2024-09-01,Prime,781,High,Northeast,Cash_Advance,3821.87
100155,2024-09-01,Near_Prime,708,Medium,Midwest,Card_Refinance,4535.42
100156,2024-09-01,Prime,729,Medium,South,Retail_Purchase,7663.69
100157,2024-09-01,Prime,759,Low,West,Card_Refinance,26259.79
100158,2024-09-01,Subprime,581,Low,West,Cash_Advance,4968.23
100159,2024-09-01,Near_Prime,705,Medium,Midwest,Retail_Purchase,14983.76
100160,2024-09-01,Subprime,628,Medium,West,Cash_Advance,4309.93
100161,2024-09-01,Subprime,654,Medium,Northeast,Card_Refinance,2903.5
100162,2024-09-01,Prime,791,Low,South,General_Spend,17346.11
100163,2024-09-01,Prime,793,High,Midwest,Card_Refinance,6268.84
100164,2024-09-01,Prime,832,Medium,Northeast,Travel,1699.29
100165,2024-09-01,Subprime,634,High,West,General_Spend,5409.54
100166,2024-09-01,Prime,744,High,Midwest,General_Spend,6335.55
100167,2024-09-01,Prime,784,High,South,Cash_Advance,6447.93
100168,2024-09-01,Subprime,594,Low,West,Travel,1711.94
100169,2024-09-01,Near_Prime,702,Low,Midwest,General_Spend,4485.82
100170,2024-09-01,Prime,793,Medium,West,General_Spend,13085.45
100171,2024-09-01,Subprime,639,Low,West,Cash_Advance,4016.37
100172,2024-09-01,Subprime,590,High,West,Card_Refinance,1830.62
100173,2024-09-01,Prime,829,High,West,Card_Refinance,11132.49
100174,2024-09-01,Near_Prime,718,Low,South,Card_Refinance,4322.46
100175,2024-09-01,Prime,780,Medium,Northeast,Retail_Purchase,20769.89
100176,2024-09-01,Prime,786,Low,Northeast,Travel,11304.2
100177,2024-09-01,Near_Prime,662,Medium,Northeast,General_Spend,4151.22
100178,2024-09-01,Subprime,612,Medium,South,General_Spend,3531.24
100179,2024-09-01,Subprime,618,Low,Midwest,General_Spend,4147.03
100180,2024-09-01,Prime,720,Low,West,Card_Refinance,5956.83
100181,2024-09-01,Near_Prime,712,Medium,Northeast,Retail_Purchase,7381.35
100182,2024-09-01,Subprime,591,Medium,West,Card_Refinance,2652.68
100183,2024-09-01,Prime,814,Low,Northeast,Cash_Advance,3180.22
100184,2024-09-01,Prime,727,Medium,West,Travel,5192.95
100185,2024-09-01,Near_Prime,714,Medium,Northeast,General_Spend,5402.79
100186,2024-09-01,Near_Prime,692,Medium,South,Retail_Purchase,6624.37
100187,2024-09-01,Prime,805,Medium,South,Travel,4251.27
100188,2024-09-01,Prime,835,Medium,Midwest,Card_Refinance,18058.35
100189,2024-09-01,Near_Prime,708,Medium,Northeast,Card_Refinance,2245.49
100190,2024-09-01,Prime,756,Medium,South,Travel,16213.22
100191,2024-09-01,Near_Prime,682,Medium,West,Retail_Purchase,6760.56
100192,2024-09-01,Near_Prime,682,Medium,South,General_Spend,6969.61
100193,2024-09-01,Near_Prime,718,High,Northeast,General_Spend,8123.34
100194,2024-09-01,Prime,802,Low,Northeast,Card_Refinance,5016.25
100195,2024-09-01,Prime,769,Medium,Northeast,Card_Refinance,3735.25
100196,2024-09-01,Near_Prime,662,Low,Midwest,General_Spend,3556.06
100197,2024-09-01,Prime,844,High,West,Travel,6958.83
100198,2024-09-01,Subprime,632,Low,South,Cash_Advance,3242.71
100199,2024-09-01,Near_Prime,713,High,West,General_Spend,5790.55
100200,2024-09-01,Near_Prime,668,Low,South,General_Spend,7983.84
100201,2024-09-01,Near_Prime,718,High,South,Travel,4323.93
100202,2024-09-01,Near_Prime,710,Low,Midwest,General_Spend,6183.27
100203,2024-09-01,Subprime,586,Medium,West,Travel,3065.63
100204,2024-09-01,Prime,824,Low,West,Retail_Purchase,4586.85
100205,2024-09-01,Subprime,594,Medium,West,Travel,2570.08
100206,2024-09-01,Subprime,594,High,Northeast,General_Spend,4961.86
100207,2024-09-01,Prime,795,Medium,Northeast,Cash_Advance,12205.33
100208,2024-09-01,Prime,797,Low,South,General_Spend,8638.79
100209,2024-09-01,Near_Prime,713,Medium,Northeast,Cash_Advance,5726.99
100210,2024-09-01,Subprime,592,Medium,Northeast,Card_Refinance,1031.13
100211,2024-09-01,Subprime,583,Medium,West,Travel,4382.69
100212,2024-09-01,Prime,732,Medium,South,Cash_Advance,17158.96
100213,2024-09-01,Near_Prime,682,Medium,South,Travel,6142.64
100214,2024-09-01,Near_Prime,679,Low,West,Cash_Advance,2816.5
100215,2024-09-01,Prime,783,Medium,Northeast,Travel,10782.34
100216,2024-09-01,Subprime,634,High,South,Travel,4867.89
100217,2024-09-01,Subprime,586,Low,Midwest,General_Spend,2313.28
100218,2024-09-01,Near_Prime,708,High,Northeast,Travel,5138.53
100219,2024-09-01,Prime,809,Medium,South,Travel,5178.95
100220,2024-09-01,Prime,726,Low,South,Card_Refinance,5733.2
100221,2024-09-01,Subprime,621,Low,West,Card_Refinance,6250.84
100222,2024-09-01,Near_Prime,708,Low,South,Card_Refinance,5592.18
100223,2024-09-01,Near_Prime,709,Low,West,Retail_Purchase,2331.38
100224,2024-09-01,Prime,788,Low,Midwest,Cash_Advance,3580.37
100225,2024-09-01,Prime,838,Low,Midwest,Cash_Advance,7839.47
100226,2024-09-01,Near_Prime,671,Medium,Midwest,General_Spend,3815.79
100227,2024-09-01,Prime,743,High,Northeast,Travel,11153.84
100228,2024-09-01,Near_Prime,698,High,Midwest,General_Spend,2589.17
100229,2024-09-01,Prime,780,Low,Midwest,Retail_Purchase,6312.14
100230,2024-09-01,Near_Prime,671,High,Northeast,Card_Refinance,3931.17
100231,2024-09-01,Prime,847,Medium,Northeast,Travel,8267.73
100232,2024-09-01,Subprime,593,Low,South,General_Spend,3356.48
100233,2024-09-01,Prime,782,Medium,Midwest,Cash_Advance,2780.23
100234,2024-09-01,Near_Prime,668,High,West,General_Spend,6258.92
100235,2024-09-01,Near_Prime,717,Low,South,Card_Refinance,6893.59
100236,2024-09-01,Near_Prime,661,Low,West,Retail_Purchase,1824.73
100237,2024-09-01,Prime,743,Medium,South,Travel,2415.69
100238,2024-09-01,Prime,745,High,West,General_Spend,13173.76
100239,2024-09-01,Prime,739,Medium,South,General_Spend,13795.99
100240,2024-09-01,Near_Prime,661,Low,South,Travel,5362.31
100241,2024-09-01,Prime,812,Medium,West,Cash_Advance,7664.69
100242,2024-09-01,Near_Prime,694,Low,South,Travel,10358.07
100243,2024-09-01,Subprime,612,Medium,South,Cash_Advance,1517.38
100244,2024-09-01,Prime,761,Medium,West,Travel,14163.34
100245,2024-09-01,Near_Prime,712,High,South,Retail_Purchase,4062.4
100246,2024-09-01,Subprime,627,Medium,West,Card_Refinance,2866.78
100247,2024-09-01,Subprime,612,High,West,Card_Refinance,2108.24
100248,2024-09-01,Prime,742,Low,South,Cash_Advance,1750.72
100249,2024-09-01,Prime,753,Medium,Midwest,Travel,22434.63
100250,2024-09-01,Prime,757,High,South,Travel,3899.01
100251,2024-09-01,Prime,740,Medium,Midwest,Retail_Purchase,6288.09
100252,2024-09-01,Prime,775,Medium,Midwest,Cash_Advance,2224.98
100253,2024-09-01,Prime,746,Medium,Northeast,Card_Refinance,6516.18
100254,2024-09-01,Prime,810,Medium,Northeast,Retail_Purchase,8877.31
100255,2024-09-01,Subprime,596,Medium,West,Cash_Advance,2304.41
100256,2024-09-01,Near_Prime,664,Medium,West,General_Spend,4062.42
100257,2024-09-01,Prime,834,Medium,West,Card_Refinance,4331.41
100258,2024-09-01,Subprime,653,Medium,South,Card_Refinance,3330.51
100259,2024-09-01,Prime,841,Medium,Northeast,Travel,10763.4
100260,2024-09-01,Near_Prime,678,Medium,Northeast,Retail_Purchase,3563.68
100261,2024-09-01,Prime,835,High,South,Cash_Advance,8993.66
100262,2024-09-01,Near_Prime,685,Medium,West,Retail_Purchase,4117.05
100263,2024-09-01,Subprime,600,Medium,South,Travel,3713.11
100264,2024-09-01,Prime,735,Low,Northeast,Card_Refinance,12708.25
100265,2024-09-01,Near_Prime,664,High,Midwest,General_Spend,11446.19
100266,2024-09-01,Near_Prime,660,High,West,General_Spend,7510.32
100267,2024-09-01,Near_Prime,667,Low,Midwest,Card_Refinance,5279.07
100268,2024-09-01,Subprime,583,High,Midwest,Retail_Purchase,3731.36
100269,2024-09-01,Near_Prime,678,Low,West,Retail_Purchase,9018.18
100270,2024-09-01,Prime,781,Low,West,Card_Refinance,20357.67
100271,2024-09-01,Prime,797,Medium,West,Travel,10543.51
100272,2024-09-01,Subprime,618,Medium,Northeast,Card_Refinance,2758.44
100273,2024-09-01,Subprime,583,Medium,Midwest,Retail_Purchase,4398.18
100274,2024-09-01,Near_Prime,695,Medium,Midwest,General_Spend,15870.77
100275,2024-09-01,Subprime,653,Low,West,Travel,2613.08
100276,2024-09-01,Prime,722,Low,Midwest,Card_Refinance,4860.11
100277,2024-09-01,Near_Prime,660,Low,South,Retail_Purchase,6408.56
100278,2024-09-01,Subprime,599,Medium,Midwest,Card_Refinance,2127.34
100279,2024-09-01,Prime,780,Medium,South,Cash_Advance,9155.12
100280,2024-09-01,Near_Prime,717,High,Midwest,General_Spend,7570.58
100281,2024-09-01,Subprime,592,Low,Northeast,Cash_Advance,3056.98
100282,2024-09-01,Prime,827,Medium,Midwest,Cash_Advance,6191.46
100283,2024-09-01,Subprime,645,Low,South,Cash_Advance,889.85
100284,2024-09-01,Prime,736,Medium,Northeast,Retail_Purchase,23229.98
100285,2024-09-01,Near_Prime,661,Medium,Midwest,Retail_Purchase,10399.73
100286,2024-09-01,Prime,838,Medium,South,Card_Refinance,5009.24
100287,2024-09-01,Subprime,645,High,West,Card_Refinance,2813.14
100288,2024-09-01,Prime,836,Low,Midwest,Retail_Purchase,6969.66
100289,2024-09-01,Near_Prime,661,High,West,General_Spend,4872.6
100290,2024-09-01,Prime,816,High,West,Cash_Advance,6722.85
100291,2024-09-01,Near_Prime,683,Medium,South,Travel,5863.91
100292,2024-09-01,Subprime,580,High,South,Retail_Purchase,5366.98
100293,2024-09-01,Subprime,634,Medium,South,Retail_Purchase,4972.99
100294,2024-09-01,Near_Prime,696,Medium,Midwest,Retail_Purchase,6311.83
100295,2024-09-01,Near_Prime,713,High,South,Retail_Purchase,5737.17
100296,2024-09-01,Subprime,600,Medium,Northeast,Cash_Advance,2026.9
100297,2024-09-01,Prime,844,Medium,West,Travel,5052.02
100298,2024-09-01,Near_Prime,718,Medium,Northeast,Card_Refinance,14845.47
100299,2024-09-01,Near_Prime,711,High,South,Cash_Advance,4791.15
100300,2024-09-01,Subprime,589,High,Midwest,Travel,3876.15
100301,2024-09-01,Prime,792,Medium,South,Travel,3295.72
100302,2024-09-01,Near_Prime,711,Medium,West,Cash_Advance,6072.96
100303,2024-09-01,Prime,740,Medium,South,Card_Refinance,4652.75
100304,2024-09-01,Prime,814,Low,Midwest,Card_Refinance,11211.76
100305,2024-09-01,Subprime,593,High,Midwest,General_Spend,3507.98
100306,2024-09-01,Subprime,630,Medium,South,Travel,2985.18
100307,2024-09-01,Prime,734,Low,Northeast,Cash_Advance,8594.48
100308,2024-09-01,Prime,760,High,South,Card_Refinance,3637.41
100309,2024-09-01,Prime,750,Medium,Northeast,Retail_Purchase,12677.69
100310,2024-09-01,Subprime,602,Low,Midwest,Travel,1443.54
100311,2024-09-01,Prime,764,Medium,Northeast,Card_Refinance,13257.23
100312,2024-09-01,Prime,755,Medium,South,Retail_Purchase,14962.44
100313,2024-09-01,Near_Prime,661,Medium,Midwest,General_Spend,9120.9
100314,2024-09-01,Subprime,604,Medium,Midwest,Card_Refinance,1571.17
100315,2024-09-01,Near_Prime,661,Low,South,General_Spend,11360.17
100316,2024-09-01,Subprime,598,Medium,West,Retail_Purchase,3602.1
100317,2024-09-01,Subprime,597,High,Northeast,Card_Refinance,983.38
100318,2024-09-01,Subprime,607,Low,Northeast,Cash_Advance,1092.57
100319,2024-09-01,Subprime,620,High,West,Card_Refinance,3748.4
100320,2024-09-01,Near_Prime,679,Medium,Northeast,Cash_Advance,3417.16
100321,2024-09-01,Near_Prime,715,Medium,Midwest,Retail_Purchase,9936.23
100322,2024-09-01,Near_Prime,674,High,Midwest,General_Spend,5198.07
100323,2024-09-01,Prime,732,Medium,West,General_Spend,5010.15
100324,2024-09-01,Near_Prime,710,Low,Northeast,Retail_Purchase,6259.8
100325,2024-09-01,Near_Prime,668,High,Northeast,Cash_Advance,4493.12
100326,2024-09-01,Prime,753,High,Northeast,Travel,4111.71
100327,2024-09-01,Prime,784,High,Northeast,Retail_Purchase,13574.51
100328,2024-09-01,Near_Prime,691,High,Northeast,Cash_Advance,5996.46
100329,2024-09-01,Subprime,640,Low,South,Card_Refinance,1720.1
100330,2024-09-01,Subprime,652,High,Midwest,Card_Refinance,1586.62
100331,2024-09-01,Prime,796,Low,Midwest,General_Spend,11231.88
100332,2024-09-01,Subprime,600,Low,West,Cash_Advance,3213.11
100333,2024-09-01,Near_Prime,704,Medium,Northeast,General_Spend,1745.42
100334,2024-09-01,Prime,822,Medium,West,Retail_Purchase,1741.82
100335,2024-09-01,Prime,729,High,West,Travel,2786.56
100336,2024-09-01,Near_Prime,660,High,Northeast,Retail_Purchase,4800.51
100337,2024-09-01,Prime,807,Low,West,Card_Refinance,18734.1
100338,2024-09-01,Prime,831,Low,South,Cash_Advance,11522.74
100339,2024-09-01,Subprime,625,High,West,Travel,3132.2
100340,2024-09-01,Prime,779,High,South,Retail_Purchase,3543.04
100341,2024-09-01,Subprime,632,High,West,Card_Refinance,4286.98
100342,2024-09-01,Subprime,591,Medium,Midwest,Retail_Purchase,280.8
100343,2024-09-01,Subprime,654,Low,Midwest,Retail_Purchase,5958.86
100344,2024-09-01,Subprime,653,Medium,South,Retail_Purchase,5603.3
100345,2024-09-01,Prime,779,Medium,Midwest,Retail_Purchase,14499.44
100346,2024-09-01,Near_Prime,708,Low,Northeast,Retail_Purchase,7782.26
100347,2024-09-01,Prime,797,Medium,Midwest,Travel,7599.74
100348,2024-09-01,Prime,781,Low,Midwest,Card_Refinance,14665.0
100349,2024-09-01,Prime,759,Medium,Midwest,Travel,6666.73
100350,2024-09-01,Near_Prime,675,Low,West,Cash_Advance,5547.68
100351,2024-09-01,Near_Prime,664,Medium,West,Card_Refinance,4239.28
100352,2024-09-01,Prime,732,Medium,South,General_Spend,17479.85
100353,2024-09-01,Subprime,582,Medium,West,Card_Refinance,1055.88
100354,2024-09-01,Near_Prime,662,Low,Northeast,General_Spend,6947.76
100355,2024-09-01,Near_Prime,683,Medium,Midwest,General_Spend,1187.37
100356,2024-09-01,Near_Prime,685,High,South,Retail_Purchase,5058.14
100357,2024-09-01,Subprime,629,High,Northeast,Cash_Advance,1203.55
100358,2024-09-01,Near_Prime,705,Low,South,General_Spend,4457.05
100359,2024-09-01,Prime,767,Medium,South,General_Spend,3348.31
100360,2024-09-01,Near_Prime,716,Medium,South,Cash_Advance,2221.55
100361,2024-09-01,Prime,823,Medium,Northeast,Travel,10493.59
100362,2024-09-01,Prime,749,Medium,South,Retail_Purchase,3535.22
100363,2024-09-01,Prime,832,High,South,Retail_Purchase,9024.8
100364,2024-09-01,Near_Prime,681,Low,West,Travel,4254.73
100365,2024-09-01,Prime,784,Low,Midwest,Card_Refinance,7215.95
100366,2024-09-01,Prime,814,Medium,South,Retail_Purchase,18113.51
100367,2024-09-01,Near_Prime,694,High,West,Cash_Advance,1235.93
100368,2024-09-01,Near_Prime,701,Low,South,Travel,856.95
100369,2024-09-01,Subprime,609,Medium,South,Retail_Purchase,4024.79
100370,2024-09-01,Subprime,582,Low,South,Card_Refinance,2559.82
100371,2024-09-01,Prime,799,Medium,Midwest,Travel,9671.9
100372,2024-09-01,Near_Prime,705,High,West,Cash_Advance,4980.94
100373,2024-09-01,Prime,732,Low,South,Card_Refinance,3816.06
100374,2024-09-01,Prime,834,Medium,Northeast,Card_Refinance,16470.06
100375,2024-09-01,Near_Prime,665,Medium,Midwest,General_Spend,16957.92
100376,2024-09-01,Near_Prime,691,Low,West,Retail_Purchase,17914.87
100377,2024-09-01,Near_Prime,709,Medium,Northeast,Cash_Advance,8833.61
100378,2024-09-01,Prime,781,Medium,Midwest,Travel,9470.74
100379,2024-09-01,Near_Prime,688,Medium,West,General_Spend,2726.09
100380,2024-09-01,Subprime,582,High,South,General_Spend,2883.35
100381,2024-09-01,Near_Prime,716,High,Midwest,Cash_Advance,6742.66
100382,2024-09-01,Prime,759,Medium,Northeast,General_Spend,3535.47
100383,2024-09-01,Subprime,636,Low,Northeast,Retail_Purchase,4690.32
100384,2024-09-01,Prime,784,Medium,Midwest,Travel,9143.06
100385,2024-09-01,Prime,795,Medium,South,General_Spend,9946.83
100386,2024-09-01,Near_Prime,677,High,West,General_Spend,5371.48
100387,2024-09-01,Near_Prime,701,Medium,South,Retail_Purchase,6536.88
